Die,stud,mold,PCB,Total_warpage,Unit_warpage,NLPLWK_up_14400,NLPLWK_up_10800,NLPLWK_up_7200,NLPLWK_up_3600,NLPLWK_down_14400,NLPLWK_down_10800,NLPLWK_down_7200,NLPLWK_down_3600,Acc_Equi_Strain_up,Acc_Equi_Strain_down,Acc_Equi_Strain_max,Nf_pred (cycles),Prediction,DeltaW,Residual
200,70,55,1.0,9.848,8.1048,1.9388,1.5521,1.161,0.7595,1.4536,1.1639,0.8705,0.5671,0.0555,0.0494,0.0555,1063.419314,121.91919,0.6057403,42.105354
200,70,55,0.8,11.488,8.9255,1.5611,1.2708,0.9763,0.6716,1.271,1.0312,0.7874,0.5327,0.0491,0.0461,0.0491,2200.79355,223.88548,0.48498073,27.876318
200,60,75,1.0,9.8096,8.0892,1.944,1.5558,1.1631,0.7602,1.478,1.1823,0.8831,0.5737,0.05574,0.04994,0.05574,1016.144263,116.37414,0.6161436,43.25827
200,60,75,0.8,11.462,8.9209,1.5888,1.2934,0.9939,0.6843,1.2981,1.0523,0.8024,0.5417,0.0498,0.0468,0.0498,2425.047681,214.23941,0.4928577,28.857693
200,60,65,1.0,9.8223,8.1039,1.9342,1.5499,1.1612,0.7623,1.4776,1.1821,0.8832,0.5741,0.0556,0.04993,0.0556,1029.819813,117.78394,0.6134353,42.959133
200,60,65,0.8,11.424,8.8364,1.6014,1.3008,0.9959,0.6808,1.2574,1.0201,0.7783,0.5269,0.05,0.0459,0.05,2482.734742,214.03578,0.49302918,28.87897
200,60,55,1.0,9.8341,8.1195,1.9166,1.5368,1.1526,0.7582,1.4754,1.1805,0.8821,0.5737,0.0552,0.0498,0.0552,1084.373274,120.117645,0.6090482,42.47306
200,60,55,0.8,11.463,8.8789,1.5718,1.2784,0.9807,0.6728,1.2353,1.0032,0.7674,0.5205,0.0493,0.0451,0.0493,2280.795398,220.75879,0.4874824,28.188892
150,80,75,1.0,9.7221,8.0485,1.8064,1.4512,1.0916,0.7216,1.4014,1.1212,0.8374,0.5437,0.05268,0.0483,0.05268,1179.898752,154.27885,0.5557586,36.41539
150,80,75,0.8,11.365,8.8865,1.478,1.2081,0.9341,0.65,1.2413,1.0054,0.7655,0.5147,0.04725,0.04554,0.04725,2939.750888,251.71503,0.46463287,25.301758
150,80,65,1.0,9.7306,8.0672,1.7821,1.433,1.0794,0.7153,1.3754,1.1034,0.8276,0.5421,0.05223,0.04734,0.05223,1247.73856,161.2977,0.5467864,35.365887
150,80,65,0.8,11.38,8.9118,1.4599,1.1943,0.9246,0.6447,1.2139,0.9864,0.7551,0.5125,0.04689,0.04454,0.04689,3020.004819,255.07416,0.462385,25.013742
150,80,55,1.0,9.738,8.0861,1.772,1.4271,1.0776,0.7178,1.3927,1.1146,0.8331,0.5415,0.05203,0.04806,0.05203,1278.378812,160.23508,0.5481102,35.521294
150,80,55,0.8,11.394,8.9381,1.442,1.1808,0.9155,0.64,1.209,0.9826,0.7522,0.5106,0.04649,0.04439,0.04649,2563.303871,255.44563,0.4621389,24.982174
150,70,75,1.0,9.7136,8.0677,1.7781,1.4313,1.0802,0.7189,1.3957,1.1189,0.8385,0.5484,0.05215,0.04782,0.05215,1225.358393,156.23433,0.5532037,36.11745
150,70,75,0.8,11.384,8.926,1.4598,1.1947,0.9256,0.6463,1.2349,1.0026,0.7666,0.5196,0.04686,0.04508,0.04686,2876.131795,253.22276,0.46361887,25.171936
