Die,stud,mold,PCB,Total_warpage,Unit_warpage,NLPLWK_up_14400,NLPLWK_up_10800,NLPLWK_up_7200,NLPLWK_up_3600,NLPLWK_down_14400,NLPLWK_down_10800,NLPLWK_down_7200,NLPLWK_down_3600,Acc_Equi_Strain_up,Acc_Equi_Strain_down,Acc_Equi_Strain_max,Nf_pred (cycles)
250,70,55,1,9.887,8.0618,2.091,1.6672,1.2383,0.7991,1.5096,1.2058,0.8982,0.58,0.0588,0.0511,0.0588,935.1600008
250,70,55,0.8,11.443,8.8089,1.6675,1.3514,1.0312,0.7006,1.2985,1.052,0.8031,0.5423,0.0515,0.047,0.0515,1977.188842
250,70,55,0.6,13.982,9.9862,1.2155,1.0107,0.8011,0.5804,1.1075,0.9151,0.7174,0.5056,0.0432,0.0439,0.0439,526.361401
250,60,75,1,9.844,8.0571,2.0917,1.6673,1.2383,0.7991,1.5163,1.2123,0.9047,0.5866,0.05886,0.051,0.05886,901.371469
250,60,75,0.8,11.409,8.8112,1.6882,1.3675,1.0427,0.7076,1.3215,1.0709,0.8163,0.5507,0.052,0.0475,0.052,2174.887086
250,60,75,0.6,14.158,10.145,1.1514,0.9613,0.7679,0.5646,1.3416,1.1514,0.9547,0.7425,0.04196,0.05055,0.05055,530.3964803
250,60,65,1,9.8603,8.0685,2.0804,1.6589,1.2328,0.7965,1.5173,1.2128,0.9047,0.5864,0.05864,0.05103,0.05864,911.923235
250,60,65,0.8,11.435,8.8302,1.6758,1.358,1.0362,0.704,1.3208,1.0702,0.8157,0.5502,0.05179,0.04758,0.05179,2208.398165
250,60,65,0.6,14.192,10.17,1.1392,0.9517,0.7608,0.5599,1.3391,1.1491,0.9526,0.7405,0.04164,0.05047,0.05047,529.0465104
250,60,55,1,9.8764,8.08,2.0682,1.6499,1.227,0.7939,1.5288,1.2204,0.9083,0.5858,0.0584,0.0515,0.0584,905.8050614
250,60,55,0.8,11.459,8.849,1.6623,1.3479,1.029,0.7005,1.3346,1.079,0.8194,0.5488,0.0515,0.0481,0.0515,1920.95917
250,60,55,0.6,14.093,10.091,1.2229,1.0171,0.8065,0.5849,1.1272,0.9304,0.7284,0.5123,0.0435,0.0444,0.0444,735.1404328
200,80,75,1,9.8286,8.0534,1.9983,1.5963,1.1897,0.7728,1.4641,1.1703,0.8727,0.7728,0.05676,0.05,0.05676,1000.833622
200,80,75,0.8,11.424,8.8367,1.6022,1.3014,0.9963,0.681,1.2809,1.037,0.7891,0.53,0.05,0.0468,0.05,2543.4608
200,80,75,0.6,14.234,10.232,1.1023,0.9227,0.7394,0.5446,1.2545,1.0809,0.9012,0.7057,0.04082,0.04851,0.04851,606.5450775
200,80,65,1,9.8414,8.0674,1.9781,1.5812,1.1796,0.7676,1.4402,1.1539,0.8638,0.5636,0.05642,0.04911,0.05642,1048.808032
200,80,65,0.8,11.444,8.8576,1.5868,1.2896,0.9882,0.6764,1.2556,1.0195,0.7794,0.5282,0.0497,0.0458,0.0497,2582.309244
200,80,65,0.6,14.261,10.259,1.0927,0.915,0.7335,0.5405,1.2494,1.0765,0.8973,0.7025,0.04056,0.04839,0.04839,597.9034546
200,80,55,1,9.8539,8.0811,1.9701,1.5754,1.1762,0.7665,1.4587,1.1657,0.869,0.5619,0.0562,0.0498,0.0562,1065.932405
