Die,stud,mold,PCB,Total_warpage,Unit_warpage,NLPLWK_up_14400,NLPLWK_up_10800,NLPLWK_up_7200,NLPLWK_up_3600,NLPLWK_down_14400,NLPLWK_down_10800,NLPLWK_down_7200,NLPLWK_down_3600,Acc_Equi_Strain_up,Acc_Equi_Strain_down,Acc_Equi_Strain_max,Nf_pred (cycles),Prediction,DeltaW,Residual
150,70,55,0.6,14.431,10.535,1.06,0.8909,0.7177,0.5333,1.0622,0.8775,0.6879,0.4838,0.03943,0.04228,0.04228,751.8713793,0.8549729,1.536249,2375.7024
150,60,75,1.0,9.6973,8.0778,1.7458,1.4069,1.0637,0.7104,1.4164,1.1345,0.8491,0.554,0.05152,0.04827,0.05152,1220.123765,303.8839,4.225229,99.29146
150,60,75,0.8,11.392,8.9571,1.4446,1.1833,0.918,0.6427,1.2557,1.0185,0.7776,0.5259,0.004654,0.04557,0.04557,2849.648203,2190.5415,1.6424752,99.169174
150,60,75,0.6,14.64,10.686,1.006,0.8497,0.6897,0.5191,1.2697,1.0909,0.9057,0.7044,0.03832,0.04869,0.04869,770.8245013,1.1705474,1.1459874,3405.8345
150,60,65,1.0,9.7053,8.097,1.7225,1.3896,1.0523,0.7049,1.4121,1.1312,0.8468,0.5527,0.05104,0.04815,0.05104,1249.971671,415.23035,2.757887,98.6407
150,60,65,0.8,11.406,8.9823,1.4248,1.1683,0.9079,0.6374,1.2524,1.0159,0.7556,0.5244,0.0461,0.04544,0.0461,2934.638099,1901.0957,1.3588189,98.53089
150,60,65,0.6,14.662,10.718,0.9912,0.8382,0.6815,0.5141,1.2617,1.0841,0.9001,0.7002,0.03794,0.04853,0.04853,792.6917545,0.7130054,1.2847042,4346.1953
150,60,55,1.0,9.712,8.1182,1.6971,1.3706,1.0398,0.6989,1.4068,1.1271,0.8739,0.5511,0.0803,0.07722,0.0803,1285.141042,514.20123,2.0321894,97.81202
150,60,55,0.8,11.419,9.0089,1.4036,1.1524,0.8971,0.6318,1.2476,1.0121,0.7728,0.5225,0.04563,0.0453,0.04563,2505.95811,1621.1848,1.1495446,97.48634
150,60,55,0.6,14.539,10.64,1.062,0.8943,0.7225,0.5396,1.0837,0.8947,0.7008,0.4923,0.03956,0.04288,0.04288,2505.96,1.1434664,1.5795915,1638.3273
